Package,Class,Field,Type,Description Rating,Has Example?
excel,Excel.Application,"load(propertyNames)",Method,Great,false
excel,Excel.Application,"load(propertyNamesAndPaths)",Method,Great,false
excel,Excel.Application,"set(properties, options)",Method,Good,false
excel,Excel.Application,"set(properties)",Method,Fine,false
excel,Excel.Application,"suspendApiCalculationUntilNextSync()",Method,Good,false
excel,Excel.Application,"suspendScreenUpdatingUntilNextSync()",Method,Great,false
excel,Excel.Application,"toJSON()",Method,Excellent,false
excel,Excel.Application,"union(firstRange, secondRange, additionalRanges)",Method,Excellent,false
excel,Excel.ArrayCellValue,N/A,Interface,Fine,false
excel,Excel.ArrayCellValue,"basicType",Property,Excellent,false
excel,Excel.ArrayCellValue,"basicValue",Property,Excellent,false
excel,Excel.ArrayCellValue,"elements",Property,Excellent,false
excel,Excel.ArrayCellValue,"referencedValues",Property,Excellent,false
excel,Excel.ArrayCellValue,"type",Property,Good,false
excel,Excel.ArrowheadLength,N/A,Enum,Missing,false
excel,Excel.ArrowheadLength,"long",EnumField,Great,false
excel,Excel.ArrowheadLength,"medium",EnumField,Great,false
excel,Excel.ArrowheadLength,"short",EnumField,Great,false
excel,Excel.ArrowheadStyle,N/A,Enum,Missing,false
excel,Excel.ArrowheadStyle,"diamond",EnumField,Great,false
excel,Excel.ArrowheadStyle,"none",EnumField,Great,false
excel,Excel.ArrowheadStyle,"open",EnumField,Great,false
excel,Excel.ArrowheadStyle,"oval",EnumField,Great,false
excel,Excel.ArrowheadStyle,"stealth",EnumField,Great,false
excel,Excel.ArrowheadStyle,"triangle",EnumField,Great,false
excel,Excel.ArrowheadWidth,N/A,Enum,Missing,false
excel,Excel.ArrowheadWidth,"medium",EnumField,Great,false
excel,Excel.ArrowheadWidth,"narrow",EnumField,Great,false
excel,Excel.ArrowheadWidth,"wide",EnumField,Great,false
excel,Excel.AutoFillType,N/A,Enum,Good,false
excel,Excel.AutoFillType,"fillCopy",EnumField,Great,false
excel,Excel.AutoFillType,"fillDays",EnumField,Great,false
excel,Excel.AutoFillType,"fillDefault",EnumField,Excellent,false
excel,Excel.AutoFillType,"fillFormats",EnumField,Great,false
excel,Excel.AutoFillType,"fillMonths",EnumField,Great,false
excel,Excel.AutoFillType,"fillSeries",EnumField,Great,false
excel,Excel.AutoFillType,"fillValues",EnumField,Great,false
excel,Excel.AutoFillType,"fillWeekdays",EnumField,Great,false
excel,Excel.AutoFillType,"fillYears",EnumField,Great,false
excel,Excel.AutoFillType,"flashFill",EnumField,Great,false
excel,Excel.AutoFillType,"growthTrend",EnumField,Great,false
excel,Excel.AutoFillType,"linearTrend",EnumField,Great,false
excel,Excel.AutoFilter,N/A,Class,Good,false
